beta,peak_I,final_R
0.1,955.6260321137758,999.9543902305559
0.15,954.1569304001254,999.9544603473029
0.2,953.4237266526393,999.9544953413812
0.25,952.9842405007965,999.9545163170326
0.3,952.691437497963,999.9545302918049
0.35,952.4823907764304,999.9545402691215
0.4,952.3256657963184,999.954547749237
0.45,952.2038103706051,999.9545535650915
0.5,952.1063583469313,999.9545582162743
0.55,952.0266519997584,999.9545620204423
0.6,951.9602541971435,999.9545651894651
0.65,951.9040938288992,999.9545678698704
0.7,951.8559776740984,999.9545701663172
0.75,951.8142976193895,999.9545721556333
0.8,951.777847723022,999.9545738953052
